# Exact path|origin|kind|normalized fingerprint|category|rationale
# Paths use case-aware placeholders for former identities so this policy is not recursive.
# Origins: content, filename, symlink-target. Kinds: product, font, url.
.gitignore|content|product|06bad645d71cb788fa5da2f05743f3b98ef40a94124ed6e5677b90fad7ae9cc4:1|compatibility-ignore|Preserves the former user-state ignore boundary.
AGENTS.md|content|product|1d10fa449adf2cbdd48bc9b71c9a7468c693d97e9cc57ff2af3d26a8e929d5bb:1|migration-doc|Documents the intentional migration boundary.
AGENTS.md|content|product|1d10fa449adf2cbdd48bc9b71c9a7468c693d97e9cc57ff2af3d26a8e929d5bb:2|migration-doc|Documents the intentional migration boundary.
README.org|content|font|bd3d073b2224a0729a721de0662c6d444c22717bb29c836ee64c08e08387ac53:1|migration-doc|Documents the intentional migration boundary.
README.org|content|product|c1958365c52b50ddac428519a5c42be29d962c544277e11901364b5fcac7091e:1|migration-doc|Documents the intentional migration boundary.
README.org|content|product|c1958365c52b50ddac428519a5c42be29d962c544277e11901364b5fcac7091e:2|migration-doc|Documents the intentional migration boundary.
README.org|content|url|c1958365c52b50ddac428519a5c42be29d962c544277e11901364b5fcac7091e:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|18181457f3d4522ec215165f4b983d4aa7e40ea495c60dc5f845b1e48a63a6ee:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|2548ac1708d9464032cd8c1eb703647894a3dcf730b64a0443080f4a81a3a58b:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|5da23b7f49ba390f3cd8ae084b70d30188fe613f2e23b0eeccc55375a3eaa928:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|bdc3f3b778e66d4988d972a1529444d9b684b877bfab780a3687c0abc2842083:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|c258ac7467c8fa797a1d4e0d965980611eda5fe104c8b728b9c6b66aef543c7c:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|c258ac7467c8fa797a1d4e0d965980611eda5fe104c8b728b9c6b66aef543c7c:2|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|ef255b3bac79a1dfd91f11770ad5016ad7fc8cbc7519d918da693f219b05c3e2:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|font|ef255b3bac79a1dfd91f11770ad5016ad7fc8cbc7519d918da693f219b05c3e2:2|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|1623e465c088af2508e2bc420a13ebfb41596207c0b64c9ab0392ac040acf811:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|1aba08baea033d18905dafb82711343778219618c23b00fed921739b3a592b4b:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|222a01bd0186a5487a40ea830e9c886d610cac36545d8f31fe5ff6418f4c0d09:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|23842ba8275ebfd9596d13cf6b282c808067d6b79c66f2a977d856176d20c12f:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|28a9377eef69013eb5d5c8afa09b3067909b6bd656e22f01574e6a7ab4ccd029:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|304330422cf898e869b9dee4d4fe1b3c32d1e0ce9c317db02eba1a4c6a2c1aa2:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|304330422cf898e869b9dee4d4fe1b3c32d1e0ce9c317db02eba1a4c6a2c1aa2:2|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|33d9b971cb61b98732c42ee4ebbf715b8f25766a712e6a6025f6b138d5c38f3d:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|3a1da3acf9a338c68a273fa148f5f642a95affa64f459dd0f4f09ab123659d86:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|3c59d63c81c0fe2ac0c1062ce895818055febf6a25d6dd0d18ea470bd8ea8c82:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|438997398909f66a438714ad9e50545e155c2d755bb3041cdfa68bacb5b7fc6c:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|453d1dbd19584c124e4f0b6b268460731a367cc77f2cf0e0fdae70da1ae40005:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|48ca89f411b9dd41ce08d8dbed80b5a81670cc8228745c038b66b49b4cb2a69d:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|518284fe7d395d8244db41e62dcf9603de42bc04571909ae6d0ab963d2418cb2:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|61bca4349fd271911ec8bbd15493bfbfee407f473d446ec3bc185a3b0f2d77cf:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|6b60679461d0e8bc0d6400af74b8490d87aedc3e098c63bd3a77d363805f7ab4:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|6dee56db908e22885a01861cf61db76246ec8d550191414e5ebedb40933d3f6f:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|7a1b3aa5245061f05b0e0acd337198114274c0ac8cb93c6218ca48ca08c65454:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|7b950e86d833c4f663527c6b89a2612291f3156d79e8bc04fea476ab3ca08f9d:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|878928934359ff9554b47a7b616b76f459e61f6fd4c113f2778735d81bf9fe94:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|8ceb9f716b6b08fca1070733b532794487c440822df59e1fefb0092835f41c82:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|8d3e3aca24ba4af1f52f44178a98a745c35f7e42b9ebb89913ca8b3ab6db1943:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|8f192822f1796c92a97dcbe6c90016bc0bc5f1a6d43546387b3b85ba5a1632d0:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|916966e2284a5420d460275dd6a74af69146b3b68f253e994997b442af23d490:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|97b13af223750e71adc09eeab4eee504e3a8738b298445fc1733de7cc1a50c13:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|a24054613bda5d82702cfe0518b7e5ccb392c851753d3813c2380a0dbe71cb72:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|b54fd19d5d511a2df0af13e5fc066a2d865ad96b45546e24d025e411cfc230bb:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|bf6a647d0bcabfd05647a6d288b59e46afd330bf707d570d759e54651e586d7c:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|c120bbba33b51fc8e55e2741ccc3f969330497b153b9fc5122aa8322d66b9b55:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|d87f63ea58be28b79128f7e7f99b5970f7d8747e6625b01e794536f4272ad786:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|dc7507f4ef1071f52d54ce6f97384cd40a6dbc45c1d9dd7b02b14815511a1bec:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|df0fc355c3ebb0807689c437c7b733c14789535735c25159ed110c3bf6967731:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|product|f57934006cde1cabf33e24ff64c06981d4fbacfaf14e99685c8617ea33b75286:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|content|url|b54fd19d5d511a2df0af13e5fc066a2d865ad96b45546e24d025e411cfc230bb:1|migration-doc|Documents the intentional migration boundary.
docs/MIGRATING-FROM-%OLD_PRODUCT_UPPER%.md|filename|product|14c5e4c999368ed6e8638a0dc9e8c8a73a15c8dccb13a470c7483cf9083055fe:1|migration-doc|Documents the intentional migration boundary.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|01de7aa9e3d8a36732ff33d3e51b1e9ec867bb1d577e1912d374cfc7a066aaad:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|081591215d22889a7e4bf9a2778c32692006dcc7627976aad9b2b3da73d2943b:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|0d73c19f4848886ef4876f4415787773818c57fa02aa81bd2e9fc2ae0cc6436b:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|1198f3ce96b3f050a5722084e70dbc5f25343f3d7e9b5870a6dc76afb664d271:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|168ba2df17f8453b5060a1f016b320cc1789b23b10cbe4ebee930fd58c88b172:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|168ba2df17f8453b5060a1f016b320cc1789b23b10cbe4ebee930fd58c88b172:2|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|188c59d2bfc5ce0a4ddff12fa6fd8fdd17a3fdb52a458b8e49fb713a7c92a891:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|188c59d2bfc5ce0a4ddff12fa6fd8fdd17a3fdb52a458b8e49fb713a7c92a891:2|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|2d09e74888a9782ababe58308e0e35fe44403ae0152c4afd73c34225623c044b:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|3a5bf28f80bda3bdc6cffe1b3328b402dd7d3ad9c1eeef881208abfa8b833d8d:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4104a8c8b684b8c1f985a9a09a12ca2f8bf955b8af8210755e3f2ba2ea3ac13b:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|480d222793d4006152aaa215a17c42d358bd089757f224d1a1fa6444a0140dbd:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4b0cf94032b2d6e708eb01747e8e3b3ca43f8a14d623e7fb2eb3700503a9d6d3:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4d0fad253e2c6fd3c8b09af8aa17492c55884ba2c62ce7bb537bf757b3ac9cfa:1|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4d0fad253e2c6fd3c8b09af8aa17492c55884ba2c62ce7bb537bf757b3ac9cfa:2|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4d0fad253e2c6fd3c8b09af8aa17492c55884ba2c62ce7bb537bf757b3ac9cfa:3|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4d0fad253e2c6fd3c8b09af8aa17492c55884ba2c62ce7bb537bf757b3ac9cfa:4|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4d0fad253e2c6fd3c8b09af8aa17492c55884ba2c62ce7bb537bf757b3ac9cfa:5|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4d0fad253e2c6fd3c8b09af8aa17492c55884ba2c62ce7bb537bf757b3ac9cfa:6|historical|Preserved completed pre-rename design history.
docs/superpowers/plans/2026-03-14-%OLD_PRODUCT%-tui.md|content|product|4d0fad253e2c6fd3c8b09af8aa17492c55884ba2c62ce7bb537bf757b3ac9cfa:7|historical|Preserved completed pre-rename design history.
